#{"t_start": 1678960980.4634888, "env_id": null}
r,l,t
63.071955,66,0.169547
55.851716,64,0.281248
19.432436,24,0.323135
60.401805,67,0.440822
60.835113,61,0.548532
30.028419,31,0.600395
30.337642,31,0.652256
29.661133,34,0.710101
44.404489,58,0.837758
33.22515,38,0.912558
19.002007,20,0.951454
27.438656,32,1.008304
34.358205,39,1.080111
35.993219,37,1.148926
17.875323,18,1.179846
30.642474,35,1.240681
27.761582,28,1.288553
26.890308,27,1.347395
26.596325,28,1.406239
31.585406,35,1.471066
22.605027,23,1.514948
18.144878,19,1.548856
38.776349,40,1.621663
25.402985,29,1.677512
22.998124,23,1.722392
26.995244,28,1.775251
24.578919,28,1.82811
22.836447,28,1.87997
29.525918,32,1.938815
38.90836,46,2.028574
38.360205,44,2.124317
34.943282,35,2.203109
21.668058,28,2.251976
26.364951,27,2.307826
26.044925,29,2.362679
33.661946,35,2.435486
52.996627,53,2.529235
34.988155,35,2.603037
29.208889,31,2.655895
23.556312,30,2.715735
24.987838,27,2.774578
27.461582,28,2.830428
30.179273,36,2.900242
41.297586,42,2.996982
21.637376,26,3.04685
35.545832,38,3.163536
58.423761,59,3.31214
24.683613,25,3.356023
33.810617,38,3.440794
22.607182,28,3.492657
42.378708,43,3.614331
24.550833,33,3.677164
31.996922,35,3.746977
14.760794,17,3.781883
21.009008,22,3.82078
25.217617,26,3.891591
30.913162,32,3.953426
20.757171,21,3.995314
21.343148,22,4.050166
41.536695,42,7.043159
50.768962,53,7.156855
24.824486,25,7.226666
19.252225,24,7.287505
31.603383,40,7.385243
46.702577,54,7.546812
45.371512,46,7.63458
26.991393,27,7.691425
28.781116,29,7.747275
34.646807,35,7.825067
36.422901,38,7.900864
30.737405,34,7.967691
31.999144,32,8.025531
18.894965,22,8.067419
46.662331,50,8.157179
35.463371,40,8.228987
43.393545,46,8.307781
29.78849,30,8.358638
20.160496,24,8.402523
21.764645,23,8.442422
20.854766,21,8.47832
19.65628,27,8.525193
37.802368,39,8.592016
21.803912,23,8.629914
27.375505,34,8.68776
40.613397,41,8.823397
28.819286,29,8.941081
37.456407,40,9.058766
30.832535,31,9.206377
28.372551,29,9.309097
30.135205,31,9.439748
28.723167,29,9.552446
34.308866,44,9.680105
27.871792,30,9.753907
24.892444,25,9.815742
40.076726,43,9.933427
78.363371,83,10.121923
37.193558,44,10.252572
53.979547,54,10.401176
28.441267,32,10.475976
21.137337,26,10.52285
28.369298,32,10.587681
27.007948,28,10.649511
17.420406,20,10.689404
20.440656,21,10.730295
18.523404,24,10.775175
33.405748,34,10.891864
19.926834,23,10.948711
44.6406,45,11.101301
35.836296,46,11.216993
38.773213,45,11.31972
37.310687,42,11.41646
21.157688,26,11.475301
45.919624,48,11.607949
37.376155,39,11.705694
17.82869,20,11.742587
33.254012,38,11.809408
21.515817,27,11.874235
27.218159,35,11.950032
26.429652,30,17.527112
26.589547,27,17.591944
37.253055,41,17.756499
23.196486,24,17.823323
22.833087,25,17.873185
28.825773,33,17.947986
18.665095,24,17.993863
31.088581,39,18.07764
34.987934,36,18.137479
25.637216,26,18.192333
20.972793,21,18.230232
58.054222,60,18.335949
56.21287,61,18.448648
29.480564,38,18.543394
31.291268,40,18.617197
26.938432,27,18.681026
14.806207,17,18.710946
51.557502,59,18.893458
34.518876,35,18.962272
24.846961,25,19.008152
42.129271,44,19.231552
24.483519,26,19.321312
20.261335,27,19.404091
28.919464,29,19.471908
55.905774,59,19.608543
32.67208,33,19.68434
35.179088,38,19.808011
37.020514,50,19.91672
32.321043,33,20.001494
25.49711,31,20.07829
34.149987,42,20.215921
44.963687,45,20.351557
24.715873,27,20.44331
19.166825,24,20.52609
36.807642,37,20.622831
40.728506,42,20.717577
16.558965,19,20.765449
38.878862,41,20.902085
22.802135,29,20.989849
25.0708,28,21.051683
42.875225,43,21.145431
22.992862,23,21.197294
22.389731,28,21.267108
33.933345,37,21.350882
